country_name,avg_pm25,Country Code_x,year,population_density,Country Code_y,gdp_per_capita,log_gdp,gdp_group
afghanistan,119.774,AFG,2000.0,30.8638471091486,AFG,174.930991430166,5.16439156146838,Low
afghanistan,119.774,AFG,2001.0,31.099929472732,AFG,138.706821676113,4.932362509068179,Low
afghanistan,119.774,AFG,2002.0,32.77696058139,AFG,178.954088379235,5.187129283440217,Low
afghanistan,119.774,AFG,2003.0,34.8543443263879,AFG,198.871115728727,5.29265695524774,Low
afghanistan,119.774,AFG,2004.0,36.1232295355933,AFG,221.763653873013,5.401612192565894,Low
afghanistan,119.774,AFG,2005.0,37.4171181945019,AFG,254.184249149336,5.538059394401834,Low
afghanistan,119.774,AFG,2006.0,38.9802584977692,AFG,274.218553561575,5.613925429177434,Low
afghanistan,119.774,AFG,2007.0,39.7250233813225,AFG,376.223152003876,5.9301824567167385,Low
afghanistan,119.774,AFG,2008.0,40.6031951918802,AFG,381.73323802844,5.944722034892284,Low
afghanistan,119.774,AFG,2009.0,42.1110666482682,AFG,452.053705477043,6.113800990201086,Low
afghanistan,119.774,AFG,2010.0,43.3652070588596,AFG,560.621505463146,6.329045999506046,Low
afghanistan,119.774,AFG,2011.0,44.9959492816951,AFG,606.694676337726,6.4080256601244,Low
afghanistan,119.774,AFG,2012.0,46.8546892967205,AFG,651.417134470046,6.479150196564419,Low
afghanistan,119.774,AFG,2013.0,48.4839765113534,AFG,637.087099117099,6.456906379532865,Low
afghanistan,119.774,AFG,2014.0,50.2775447311531,AFG,625.054941813938,6.437839552775117,Low
afghanistan,119.774,AFG,2015.0,51.8709105683578,AFG,565.569730408751,6.337833595485375,Low
afghanistan,119.774,AFG,2016.0,53.2030296061205,AFG,522.082215583898,6.257825076599218,Low
afghanistan,119.774,AFG,2017.0,54.7183278904681,AFG,525.469770891619,6.264292664193559,Low
afghanistan,119.774,AFG,2018.0,56.3344817012404,AFG,491.337221382603,6.197130697311605,Low
afghanistan,119.774,AFG,2019.0,58.0410606687825,AFG,496.6025042585,6.207789915869446,Low
afghanistan,119.774,AFG,2020.0,59.9006163469942,AFG,510.787063366811,6.235952797617645,Low
afghanistan,119.774,AFG,2021.0,61.3286907992579,AFG,356.496214115892,5.876323620207197,Low
afghanistan,119.774,AFG,2022.0,62.2155405301811,AFG,357.261152798144,5.878467034791953,Low
afghanistan,119.774,AFG,2023.0,63.5585008355948,AFG,413.757894705303,6.0252810073679735,Low
albania,16.603176470588238,ALB,1980.0,97.5181386861314,ALB,590.607738430529,6.381152071883193,Low
albania,16.603176470588238,ALB,1981.0,99.491094890511,ALB,663.2942082544,6.497218644779835,Low
albania,16.603176470588238,ALB,1982.0,101.61598540146,ALB,668.454504242454,6.504968337745054,Low
albania,16.603176470588238,ALB,1983.0,103.794160583942,ALB,661.546782448624,6.494580702820971,Low
albania,16.603176470588238,ALB,1984.0,106.001058394161,ALB,639.484730161417,6.4606627429565195,Low
